fsdownload_num,article_id,title,data_citation,data_doi,paper_title,paper_doi,license
2,5783157,Table 4. Zircon Lu–Hf isotopic data. Petrogenesis of Early Paleozoic diorites and mafic–intermediate dykes from the eastern Qilian orogen NE Tibetan Plateau: implication for lithospheric processes,Yang He; Zhang Hongfei; Luo Biji; Gao Zhong; Tao Lu (2018): Table 4. Zircon Lu-Hf isotopic data. Petrogenesis of Early Paleozoic diorites and mafic-intermediate dykes from the eastern Qilian orogen NE Tibetan Plateau: implication for lithospheric processes. Geological Society of London. Dataset. https://doi.org/10.6084/m9.figshare.5783157.v1,10.6084/m9.figshare.5783157.v1,,,CC BY 4.0
3,11858388,The construction mechanism of the Neoproterozoic S-type Sanfang-Yuanbaoshan granitic plutons in the Jiangnan Orogenic Belt South China revealed by geological observation geochronology AMS and Bouguer gravity modeling,Yan Chaolei; Shu Liangshu; CHEN Yan; FAURE Michel; 冯 佐海; 翟 明国 (2020): The construction mechanism of the Neoproterozoic S-type Sanfang-Yuanbaoshan granitic plutons in the Jiangnan Orogenic Belt South China revealed by geological observation geochronology AMS and Bouguer gravity modeling. figshare. Figure. https://doi.org/10.6084/m9.figshare.11858388.v1,10.6084/m9.figshare.11858388.v1,,,CC BY 4.0
5,3454121,U-Pb and Lu-Hf zircon data in young sediments reflect sedimentary recycling in eastern South Africa,Andersen Tom; Elburg Marlina; Cawthorn-Blazeby Anton (2016): U–Pb and Lu–Hf zircon data in young sediments reflect sedimentary recycling in eastern South Africa. Geological Society of London. Dataset. https://doi.org/10.6084/m9.figshare.3454121.v1,10.6084/m9.figshare.3454121.v1,U–Pb and Lu–Hf zircon data in young sediments reflect sedimentary recycling in eastern South Africa,10.1144/jgs2015-006,CC BY 4.0
7,12195678,Supplement Information for Tectonics (Permian-Triassic magmatic evolution of granitoids from the southeastern Central Asian Orogenic Belt: implications for accretion leading to collision,Wu Didi; Li Shan; Chew David; Liu Tieyi (2020): Supplement Information for Tectonics (Permian-Triassic magmatic evolution of granitoids from the southeastern Central Asian Orogenic Belt: implications for accretion leading to collision. figshare. Dataset. https://doi.org/10.6084/m9.figshare.12195678.v1,10.6084/m9.figshare.12195678.v1,,,CC BY 4.0
11,5117581,"Detrital zircon U-Pb geochronology and Hf isotope geochemistry of metasedimentary strata in the southern Brooks Range: constraints
on Neoproterozoic-Cretaceous evolution of Arctic Alaska","Hoiland Carl W.; Miller Elizabeth L.; Pease Victoria; K. Hourigan Jeremy (2017): Detrital zircon U–Pb geochronology and Hf isotope geochemistry of metasedimentary strata in the southern Brooks Range: constraints
on Neoproterozoic–Cretaceous evolution of Arctic Alaska. Geological Society of London. Dataset. https://doi.org/10.6084/m9.figshare.5117581.v1",10.6084/m9.figshare.5117581.v1,,,CC BY 4.0
12,4580695,Zircon Lu-Hf isotopic compositions. Early Mesozoic intracontinental orogeny and stress transmission in South China: evidence from Triassic peraluminous granites,Song Meijia; Shu Liangshu; Santosh M. (2017): Zircon Lu–Hf isotopic compositions. Early Mesozoic intracontinental orogeny and stress transmission in South China: evidence from Triassic peraluminous granites. Geological Society of London. Dataset. https://doi.org/10.6084/m9.figshare.4580695.v2,10.6084/m9.figshare.4580695.v2,,,CC BY 4.0
17,4206213,Lu-Hf zircon data. A detrital record of the Nile River and its catchment,Fielding Laura; Najman Yani; Millar Ian; Butterworth Peter; Ando Sergio; Padoan Marta; et al. (2016): Lu–Hf zircon data. A detrital record of the Nile River and its catchment. Geological Society of London. Dataset. https://doi.org/10.6084/m9.figshare.4206213.v1,10.6084/m9.figshare.4206213.v1,,,CC BY 4.0
18,13673767,Table A7: Zircon Lu-Hf isotopic data. Mafic rocks from the southern Alxa block of Northwest China and its geodynamic evolution in the Paleozoic,Zhang Liqi; Zhang Hongfei; Hawkesworth Chris; Luo Biji; Yang He (2021): Table A7: Zircon Lu–Hf isotopic data. Mafic rocks from the southern Alxa block of Northwest China and its geodynamic evolution in the Paleozoic. Geological Society of London. Dataset. https://doi.org/10.6084/m9.figshare.13673767.v1,10.6084/m9.figshare.13673767.v1,,,CC BY 4.0
19,8260688,Paleoproterozoic A-type granite from the southwestern margin of the North China block: high temperature melting of tonalitic crust in extensional setting,Paleoproterozoic A-type granite from the southwestern margin of the North China block: high temperature melting of tonalitic crust in extensional setting. Taylor & Francis. Wang Xing-Ying; Qin Jiang-Feng; Lai Shao-Cong; Long Xiao-Ping; Ju Yin-Juan; Zhang Ze-Zhong; et al..,10.6084/m9.figshare.8260688.v1,Paleoproterozoic A-type granite from the southwestern margin of the North China block: high temperature melting of tonalitic crust in extensional setting,10.1080/00206814.2019.1627590,CC BY 4.0
20,5678773,Table S3. Zircon Lu-Hf isotopic data for the sandstones. Geochemistry and zircon U-Hf isotopic data for Permo-Carboniferous sediments in the Solonker Zone Inner Mongolia China: constraints on depositional age provenance and tectonic setting,Chen Yan; Zhang Zhicheng; Fanning C. Mark; Yang Jinfu; Fu Bin; Wu Tairan (2017): Table S3. Zircon Lu–Hf isotopic data for the sandstones. Geochemistry and zircon U–Pb–Hf isotopic data for Permo-Carboniferous sediments in the Solonker Zone Inner Mongolia China: constraints on depositional age provenance and tectonic setting. Geological Society of London. Dataset. https://doi.org/10.6084/m9.figshare.5678773.v1,10.6084/m9.figshare.5678773.v1,,,CC BY 4.0
21,12783869,Supplementary A: New zircon U-Pb REE and Lu-Hf data for detrital samples from Paleoproterozoic sequences in Madagascar,Armistead Sheree (2020): Supplementary A: New zircon U-Pb REE and Lu-Hf data for detrital samples from Paleoproterozoic sequences in Madagascar. figshare. Dataset. https://doi.org/10.6084/m9.figshare.12783869.v1,10.6084/m9.figshare.12783869.v1,,,CC BY 4.0
23,13687966,Supplementary Data  - Cruz et al 2021,Cruz Kelly (2021): Supplementary Data  - Cruz et al 2021. figshare. Dataset. https://doi.org/10.6084/m9.figshare.13687966.v1,10.6084/m9.figshare.13687966.v1,,,CC BY 4.0
25,4873007,Neoproterozoic basement history of Wrangel Island and Arctic Chukotka: integrated insights from zircon U-Pb O and Hf isotopic studies,Gottlieb Eric S.; Pease Victoria; Miller Elizabeth L.; Akinin Vyacheslav V. (2017): Neoproterozoic basement history of Wrangel Island and Arctic Chukotka: integrated insights from zircon U–Pb O and Hf isotopic studies. Geological Society of London. Dataset. https://doi.org/10.6084/m9.figshare.4873007.v1,10.6084/m9.figshare.4873007.v1,,,CC BY 4.0
26,4004871,Table 3. Zircon and monazite geochronology of deformation in the Pielavesi Shear Zone Finland: multistage evolution of the Archaean-Proterozoic boundary in the Fennoscandian Shield,Woodard Jeremy; Tuisku Pekka; Kärki Aulis; Lahaye Yann; Majka Jarosław; Huhma Hannu; et al. (2016): Table 3. Zircon and monazite geochronology of deformation in the Pielavesi Shear Zone Finland: multistage evolution of the Archaean–Proterozoic boundary in the Fennoscandian Shield. Geological Society of London. Dataset. https://doi.org/10.6084/m9.figshare.4004871.v1,10.6084/m9.figshare.4004871.v1,,,CC BY 4.0
27,6205604,Early Cenozoic thickening and reworking of the eastern Gangdese arc south Tibet: constraints from the Oligocene granitoids,Ding Huixia; Zhang Zeming (2018): Early Cenozoic thickening and reworking of the eastern Gangdese arc south Tibet: constraints from the Oligocene granitoids. Geological Society of London. Dataset. https://doi.org/10.6084/m9.figshare.6205604.v1,10.6084/m9.figshare.6205604.v1,,,CC BY 4.0
28,8197673,Table S3. Thickening and partial melting of the Northern Qinling Orogen China: Insights from zircon U-Pb geochronology and Hf isotopic compositions of migmatite,Sun Shengsi; Dong Yunpeng; He Dengfeng; Cheng Chao; Liu Xiaoming (2019): Table S3. Thickening and partial melting of the Northern Qinling Orogen China: Insights from zircon U–Pb geochronology and Hf isotopic compositions of migmatite. Geological Society of London. Dataset. https://doi.org/10.6084/m9.figshare.8197673.v1,10.6084/m9.figshare.8197673.v1,,,CC BY 4.0
29,4733242,LA-MC-ICP-MS Lu-Hf isotope data  of detrital zircons. Zircon U-Pb age and Hf isotope evidence for an Eoarchaean crustal remnant and episodic crustal reworking in response to supercontinent cycles in NW India,Wang Wei; Cawood Peter A.; Pandit Manoj K.; Zhou Mei-Fu; Chen Wei-Terry (2017): LA-MC-ICP-MS Lu–Hf isotope data  of detrital zircons. Zircon U–Pb age and Hf isotope evidence for an Eoarchaean crustal remnant and episodic crustal reworking in response to supercontinent cycles in NW India. Geological Society of London. Dataset. https://doi.org/10.6084/m9.figshare.4733242.v1,10.6084/m9.figshare.4733242.v1,,,CC BY 4.0
30,3504923,Late Cretaceous granitoids in Karakorum northwest Tibet: petrogenesis and tectonic implications,Late Cretaceous granitoids in Karakorum northwest Tibet: petrogenesis and tectonic implications. Taylor & Francis. Liu Lijie; Hou Mingcai; Chen Yue; Tang Hongwei; Xiao Christopher.,10.6084/m9.figshare.3504923.v1,Late Cretaceous granitoids in Karakorum northwest Tibet: petrogenesis and tectonic implications,10.1080/00206814.2016.1214087,CC BY 4.0
32,12136878,Permian igneous clasts from the Matzitzi Formation southern Mexico: isotopic constraints on the final amalgamation of Pangea,Júrez-Zúñiga Sandra; Solari Luigi A.; Ortega-Oberegón Carlos (2020): Permian igneous clasts from the Matzitzi Formation southern Mexico: isotopic constraints on the final amalgamation of Pangea. Geological Society of London. Dataset. https://doi.org/10.6084/m9.figshare.12136878.v1,10.6084/m9.figshare.12136878.v1,,,CC BY 4.0
34,5477878,LA-MC-ICPMS zircon Lu-Hf isotopic data. Multiple intrusive phases in the Leinster Batholith Ireland: geochronology isotope geochemistry and constraints on the deformation history,Fritschle Tobias; Daly J. Stephen; Whitehouse Martin J.; McConnell Brian; Buhre Stephan (2017): LA–MC–ICPMS zircon Lu–Hf isotopic data. Multiple intrusive phases in the Leinster Batholith Ireland: geochronology isotope geochemistry and constraints on the deformation history. Geological Society of London. Dataset. https://doi.org/10.6084/m9.figshare.5477878.v1,10.6084/m9.figshare.5477878.v1,,,CC BY 4.0
38,12189351,Supplemental material: Evolution of the Jura-Cretaceous North American Cordilleran margin: Insights from detrital-zircon U-Pb and Hf isotopes of sedimentary units of the North Cascades Range Washington,Fisher Kirsten B. Sauer; Stacia M. Gordon; Robert B. Miller; Jeffrey D. Vervoort; Christopher M. (2017): Supplemental material: Evolution of the Jura-Cretaceous North American Cordilleran margin: Insights from detrital-zircon U-Pb and Hf isotopes of sedimentary units of the North Cascades Range Washington. Geological Society of America. Journal contribution. https://doi.org/10.1130/GES01501.S1,10.1130/GES01501.S1,Evolution of the Jura-Cretaceous North American Cordilleran margin: Insights from detrital-zircon U-Pb and Hf isotopes of sedimentary units of the North Cascades Range Washington,10.1130/GES01501.1,CC BY-NC 4.0
39,12202406,Geochemistry and tectonic significance of the Fannuj-Maskutan SSZ-type ophiolite (Inner Makran SE Iran),Geochemistry and tectonic significance of the Fannuj-Maskutan SSZ-type ophiolite (Inner Makran SE Iran). Taylor & Francis. Sepidbar Fatemeh; Lucci Federico; Biabangard Habib; Khedr Mohamed Zaki; Jiantang Peng.,10.6084/m9.figshare.12202406.v1,Geochemistry and tectonic significance of the Fannuj-Maskutan SSZ-type ophiolite (Inner Makran SE Iran),10.1080/00206814.2020.1753118,CC BY 4.0
40,13244348,Supplemental Material: The role and significance of juvenile sediments in the formation of A-type granites West Junggar oceanic arc (NW China): Zircon Hf-O isotopic perspectives,Yin Jiyuan; al. et (2020): Supplemental Material: The role and significance of juvenile sediments in the formation of A-type granites West Junggar oceanic arc (NW China): Zircon Hf-O isotopic perspectives. Geological Society of America. Journal contribution. https://doi.org/10.1130/GSAB.S.13244348.v1,10.1130/GSAB.S.13244348.v1,The role and significance of juvenile sediments in the formation of A-type granites West Junggar oceanic arc (NW China): Zircon Hf-O isotopic perspectives,10.1130/B35790.1,CC BY-NC 4.0
41,12783887,Supplementary B: Compiled database of zircon U-Pb and Lu-Hf data from Madagascar East Africa and India,Armistead Sheree (2020): Supplementary B: Compiled database of zircon U-Pb and Lu-Hf data from Madagascar East Africa and India. figshare. Dataset. https://doi.org/10.6084/m9.figshare.12783887.v3,10.6084/m9.figshare.12783887.v3,,,CC BY 4.0
42,12286616,Table S6: Zircon Lu–Hf and O isotope composition of the Paleogene rocks from oceanic tract of NW Iran. The Paleogene Ophiolite Conundrum of the Iran-Iraq Border Region,Moghadam Hadi Shafaii; Li Qiu-Li; Stern Robert J.; Chiaradia Massimo; Karsli Orhan; Rahimzadeh Bahman (2020): Table S6: Zircon Lu–Hf and O isotope composition of the Paleogene rocks from oceanic tract of NW Iran. The Paleogene Ophiolite Conundrum of the Iran–Iraq Border Region. Geological Society of London. Dataset. https://doi.org/10.6084/m9.figshare.12286616.v1,10.6084/m9.figshare.12286616.v1,,,CC BY 4.0
43,12205166,Mechanism of Paleoarchean continental crust formation as archived in granitoids from northern part of Singhbhum Craton eastern India,Dey Sukanta; Nayak Sibani Kumari; Mitra Aniruddha; Zong Keqing; Liu Yongsheng (2020): Mechanism of Paleoarchean continental crust formation as archived in granitoids from northern part of Singhbhum Craton eastern India. Geological Society of London. Dataset. https://doi.org/10.6084/m9.figshare.12205166.v1,10.6084/m9.figshare.12205166.v1,,,CC BY 4.0
